Year,College Code,Branch Code,Caste,Mark
2017,2,PM,OC,195.0
2017,2,PM,BC,194.25
2017,2,PM,BCM,194.75
2017,2,PM,MBC,192.25
2017,2,PM,SC,183.5
2017,2,PM,SCA,172.5
2017,2,PM,ST,
2017,2,PP,OC,195.75
2017,2,PP,BC,195.0
2017,2,PP,BCM,194.75
2017,2,PP,MBC,193.5
2017,2,PP,SC,185.75
2017,2,PP,SCA,176.25
2017,2,PP,ST,165.25
2017,2,TX,OC,193.75
2017,2,TX,BC,193.0
2017,2,TX,BCM,192.25
2017,2,TX,MBC,191.75
2017,2,TX,SC,182.0
2017,2,TX,SCA,177.0
2017,2,TX,ST,157.25
2017,4,AE,OC,198.25
2017,4,AE,BC,197.33
2017,4,AE,BCM,197.75
2017,4,AE,MBC,197.0
2017,4,AE,SC,194.75
2017,4,AE,SCA,195.0
2017,4,AE,ST,
2017,4,AS,OC,196.75
2017,4,AS,BC,196.25
2017,4,AS,BCM,196.5
2017,4,AS,MBC,195.0
2017,4,AS,SC,187.0
2017,4,AS,SCA,185.0
2017,4,AS,ST,
2017,4,AU,OC,197.5
2017,4,AU,BC,197.0
2017,4,AU,BCM,196.75
2017,4,AU,MBC,195.75
2017,4,AU,SC,191.25
2017,4,AU,SCA,187.0
2017,4,AU,ST,180.75
2017,4,CM,OC,198.5
2017,4,CM,BC,198.33
2017,4,CM,BCM,197.5
2017,4,CM,MBC,197.0
2017,4,CM,SC,192.0
2017,4,CM,SCA,186.0
2017,4,CM,ST,
2017,4,CS,OC,198.75
2017,4,CS,BC,198.5
2017,4,CS,BCM,198.0
2017,4,CS,MBC,197.75
2017,4,CS,SC,195.0
2017,4,CS,SCA,197.5
2017,4,CS,ST,192.25
2017,4,EC,OC,199.25
2017,4,EC,BC,199.0
2017,4,EC,BCM,198.0
2017,4,EC,MBC,198.25
2017,4,EC,SC,196.5
2017,4,EC,SCA,196.25
2017,4,EC,ST,188.25
2017,4,EI,OC,198.25
2017,4,EI,BC,198.0
2017,4,EI,BCM,197.75
2017,4,EI,MBC,197.25
2017,4,EI,SC,192.75
2017,4,EI,SCA,190.75
2017,4,EI,ST,176.5
2017,4,EM,OC,198.75
2017,4,EM,BC,198.5
2017,4,EM,BCM,197.0
2017,4,EM,MBC,197.75
2017,4,EM,SC,193.5
2017,4,EM,SCA,188.75
2017,4,EM,ST,177.75
2017,4,EX,OC,197.75
2017,4,EX,BC,197.25
2017,4,EX,BCM,196.75
2017,4,EX,MBC,196.25
2017,4,EX,SC,189.75
2017,4,EX,SCA,179.5
2017,4,EX,ST,
2017,4,IM,OC,197.75
2017,4,IM,BC,197.5
2017,4,IM,BCM,196.25
2017,4,IM,MBC,196.0
2017,4,IM,SC,188.75
2017,4,IM,SCA,180.0
2017,4,IM,ST,168.0
2017,4,MF,OC,198.75
2017,4,MF,BC,198.25
2017,4,MF,BCM,197.5
2017,4,MF,MBC,197.75
2017,4,MF,SC,194.25
2017,4,MF,SCA,191.5
2017,4,MF,ST,186.75
2017,4,PR,OC,196.75
2017,4,PR,BC,196.25
2017,4,PR,BCM,195.5
2017,4,PR,MBC,194.75
2017,4,PR,SC,186.75
2017,4,PR,SCA,186.25
2017,4,PR,ST,168.0
2017,4,RP,OC,194.75
2017,4,RP,BC,193.5
2017,4,RP,BCM,191.5
2017,4,RP,MBC,193.0
2017,4,RP,SC,183.75
2017,4,RP,SCA,174.75
2017,4,RP,ST,161.25
2017,1013,CS,OC,179.25
2017,1013,CS,BC,174.0
2017,1013,CS,BCM,168.75
2017,1013,CS,MBC,175.5
2017,1013,CS,SC,162.75
2017,1013,CS,SCA,163.25
2017,1013,CS,ST,149.25
2017,1013,EC,OC,183.75
2017,1013,EC,BC,176.75
2017,1013,EC,BCM,177.75
2017,1013,EC,MBC,180.25
2017,1013,EC,SC,165.5
2017,1013,EC,SCA,138.0
2017,1013,EC,ST,
2017,1013,IT,OC,173.75
2017,1013,IT,BC,165.5
2017,1013,IT,BCM,145.25
2017,1013,IT,MBC,163.25
2017,1013,IT,SC,156.75
2017,1013,IT,SCA,134.75
2017,1013,IT,ST,
2017,1013,ME,OC,180.25
2017,1013,ME,BC,176.0
2017,1013,ME,BCM,174.0
2017,1013,ME,MBC,176.5
2017,1013,ME,SC,167.5
2017,1013,ME,SCA,144.25
2017,1013,ME,ST,175.25
2017,1013,XM,OC,125.0
2017,1013,XM,BC,92.75
2017,1013,XM,BCM,
2017,1013,XM,MBC,92.5
2017,1013,XM,SC,96.0
2017,1013,XM,SCA,
2017,1013,XM,ST,
2017,1014,CE,OC,174.75
2017,1014,CE,BC,158.75
2017,1014,CE,BCM,156.5
2017,1014,CE,MBC,163.75
2017,1014,CE,SC,161.5
2017,1014,CE,SCA,122.25
2017,1014,CE,ST,139.5
2017,1014,CS,OC,173.5
2017,1014,CS,BC,167.0
2017,1014,CS,BCM,156.0
2017,1014,CS,MBC,168.25
2017,1014,CS,SC,161.25
2017,1014,CS,SCA,164.5
2017,1014,CS,ST,139.25
2017,1014,EC,OC,180.25
2017,1014,EC,BC,172.5
2017,1014,EC,BCM,160.25
2017,1014,EC,MBC,172.75
2017,1014,EC,SC,161.75
2017,1014,EC,SCA,118.0
2017,1014,EC,ST,
2017,1014,IT,OC,162.5
2017,1014,IT,BC,155.75
2017,1014,IT,BCM,151.0
2017,1014,IT,MBC,157.0
2017,1014,IT,SC,152.75
2017,1014,IT,SCA,113.75
2017,1014,IT,ST,
2017,1014,XC,OC,100.25
2017,1014,XC,BC,90.25
2017,1014,XC,BCM,
2017,1014,XC,MBC,
2017,1014,XC,SC,
2017,1014,XC,SCA,
2017,1014,XC,ST,
2017,1015,CS,OC,169.75
2017,1015,CS,BC,162.0
2017,1015,CS,BCM,143.75
2017,1015,CS,MBC,163.0
2017,1015,CS,SC,151.0
2017,1015,CS,SCA,99.5
2017,1015,CS,ST,131.0
2017,1015,EC,OC,182.25
2017,1015,EC,BC,173.25
2017,1015,EC,BCM,105.5
2017,1015,EC,MBC,173.25
2017,1015,EC,SC,151.75
2017,1015,EC,SCA,153.0
2017,1015,EC,ST,155.0
2017,1015,EE,OC,175.25
2017,1015,EE,BC,168.0
2017,1015,EE,BCM,142.25
2017,1015,EE,MBC,171.25
2017,1015,EE,SC,150.0
2017,1015,EE,SCA,128.75
2017,1015,EE,ST,135.0
2017,1015,ME,OC,177.0
2017,1015,ME,BC,171.25
2017,1015,ME,BCM,164.75
2017,1015,ME,MBC,172.0
2017,1015,ME,SC,158.5
2017,1015,ME,SCA,127.25
2017,1015,ME,ST,
2017,1015,XM,OC,109.75
2017,1015,XM,BC,108.0
2017,1015,XM,BCM,
2017,1015,XM,MBC,95.5
2017,1015,XM,SC,85.5
2017,1015,XM,SCA,
2017,1015,XM,ST,
2017,1026,CS,OC,187.25
2017,1026,CS,BC,183.0
2017,1026,CS,BCM,178.75
2017,1026,CS,MBC,179.5
2017,1026,CS,SC,165.25
2017,1026,CS,SCA,174.0
2017,1026,CS,ST,140.75
2017,1026,EC,OC,189.5
2017,1026,EC,BC,187.5
2017,1026,EC,BCM,169.75
2017,1026,EC,MBC,184.25
2017,1026,EC,SC,167.0
2017,1026,EC,SCA,143.75
2017,1026,EC,ST,
2017,1026,EE,OC,184.5
2017,1026,EE,BC,180.5
2017,1026,EE,BCM,166.75
2017,1026,EE,MBC,178.5
2017,1026,EE,SC,164.75
2017,1026,EE,SCA,146.5
2017,1026,EE,ST,
2018,1,AI,OC,194.75
2018,1,AI,BC,192.25
2018,1,AI,BCM,191.0
2018,1,AI,MBC,189.5
2018,1,AI,SC,184.5
2018,1,AI,SCA,164.5
2018,1,AI,ST,168.75
2018,1,BY,OC,196.75
2018,1,BY,BC,195.25
2018,1,BY,BCM,195.0
2018,1,BY,MBC,194.0
2018,1,BY,SC,190.5
2018,1,BY,SCA,186.75
2018,1,BY,ST,181.25
2018,1,CE,OC,196.75
2018,1,CE,BC,196.0
2018,1,CE,BCM,196.25
2018,1,CE,MBC,195.25
2018,1,CE,SC,191.5
2018,1,CE,SCA,189.5
2018,1,CE,ST,176.0
2018,1,CM,OC,198.5
